id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
692,C ON ADAMS LLC,DIYA FINANCE LLC,6505 WOOSTER AVE,2024-12-17,1520000,1507500
693,305 AUTO ADVERTISING INC,ANCHOR LOANS LP,1438 W 69TH ST,2024-12-17,500000,425000
694,MS83 INVESTMENTS LLC,GENESIS CAPITAL LLC,445 E 119TH ST,2024-12-17,445000,426600
695,GSI INVESTMENT LLC,FUNDLOANS CAPITAL,4177 S NORMANDIE AVE,2024-12-16,1900000,1500000
696,GORDON BARON INC,COREVEST AMERICAN FIN LNDR LLC,2220 WELLINGTON RD,2024-12-16,985000,1184770
697,2640 GRIFFITH LLC,FM HOME LOANS LLC,2640 GRIFFITH PARK BLVD,2024-12-16,1310500,917126
698,7846 GRANITO DR LLC,GOLDMAN SACHS BANK USA,7846 GRANITO DR,2024-12-16,7000000,4900000
699,WHISKER LION LLC,ROCKET MORTGAGE LLC,4549 HAMMEL ST,2024-12-13,690000,677502
700,DUNN DEVELOPMENT II LLC,ARCHWEST FUNDING LLC,259 S AVENUE 54,2024-12-13,1200000,2588000
701,GARDNER HOLDING CO LLC,US BANK NATIONAL ASSOCIATION,337 N GARDNER ST,2024-12-13,1983000,1487250
702,1568 ORANGE GROVE DEV LLC,SOUND CAPITAL LOANS LLC,1568 S ORANGE GROVE AVE,2024-12-12,2650000,7442500
703,CG REALTY INVESTMENTS,LBC CAP INCOME FUND SPE 1 LLC,9092 ST IVES DR,2024-12-12,4300000,3440000
704,7832 GRANITO DR LLC,GOLDMAN SACHS BANK USA,7832 GRANITO DR,2024-12-12,6500000,4130000
705,NEIGHBORHOOD HOME OFFER LLC,NATIONAL LOAN FUNDING LLC,1215 W 80TH ST,2024-12-12,580000,594000
706,CATERRA 2 PROPERTY LLC,SPREO CAPITAL MANAGER LLC,5166 S MANHATTAN PL,2024-12-11,719000,910000
707,5 STAR DISCOUNT HOMES LLC,ARIXA CAPITAL ADVISORS LLC,1050 W 48TH ST,2024-12-11,548000,628000
708,5 STAR DISCOUNT HOMES LLC,ARIXA ENHANCED INCOME FUND LP,1185 LEIGHTON AVE,2024-12-11,965000,1840000
709,8334 KIRKWOOD LLC,CENTER STREET LNDG VIII SPE LL,8334 KIRKWOOD DR,2024-12-11,1500000,1697875
710,LEGACY GROUP INVESTMENTS LLC,KIAVI FUNDING INC,340 E 95TH ST,2024-12-11,350000,410600
711,AYALA MARKETING GROUP LLC,DANESHRAD ROBERT,5453 BARTON CT,2024-12-10,1342000,940000
712,BAGUIO PINES LLC,KIAVI FUNDING INC,2273 W 29TH ST,2024-12-09,789000,880000
713,31ST STREET LLC,WHGG TRUST,1646 E 41ST PL,2024-12-09,560000,448000
714,2679 CHARL PL LLC,SPREO CAPITAL MANAGER LLC,2679 CHARL PL,2024-12-09,3000000,3328000
715,OCEAN DEVELOPMENT INC,NATHAN SUGIMOTO AND CHRISTINE,750 E 83RD ST,2024-12-09,575000,500000
716,IRON MEN LLC,TITAN SERVICING INC,407 W 107TH ST,2024-12-09,575000,517500
717,LF 362 COPA LLC,JPMORGAN CHASE BANK NA,362 COPA DE ORO RD,2024-12-06,16466000,11725000
718,300 INVESTMENT GROUP LLC,LMF 2 LP,3960 WESTSIDE AVE,2024-12-06,1000000,850000
719,BLUEBIRD 1 LLC,JPMORGAN CHASE BANK NA,1416 BLUEBIRD AVE,2024-12-06,6240500,4368145
720,LA JOLLA 636 LLC,BANK OF AMERICA NA,636 N LA JOLLA AVE,2024-12-06,3475000,2780000
721,D VISION HOMES LLC,BENCH EQUITY LLC,8010 PADRE LN,2024-12-06,1000000,750000
722,FVR GROUP SEVENTEEN LLC,HL3 SIERRA LLC,7116 WARING AVE,2024-12-06,1010000,909000
723,RAMOS REAL ESTATE GROUP INC,KRISTEN E HARTWICK FAMILY TRUS,1238 E 78TH ST,2024-12-06,500000,490000
724,5 STAR DISCOUNT HOMES LLC,ARIXA CAPITAL ADVISORS LLC,834 E 90TH ST,2024-12-06,425000,570000
725,TULE RIVER HOMEBUYER EARNED EQUITY AGENCY,PANORAMA MORTGAGE GROUP LLC,354 E 92ND ST,2024-12-06,595000,584223
726,COVE CAPITAL COMPANY LLC,TEMPLE VIEW CAPITAL FUNDING LP,4131 EDGEHILL DR,2024-12-05,965000,1117446
727,LA21G LLC,GENESIS CAPITAL LLC,6606 W 80TH PL,2024-12-05,1234500,2058746
728,DI NALLI CONSULTING LLC,COLORADO FEDERAL SAVINGS BANK,1742 PREUSS RD,2024-12-05,1650000,2470000
729,1711 SOUTH SHENANDOAH LLC,ARIXA ENHANCED INCOME FUND LP,1711 S SHENANDOAH ST,2024-12-05,1450000,2140000
730,CHIMAY ENTERPRISES LLC,ANCHOR LOANS LP,2408 BERKELEY AVE,2024-12-05,1300000,1336391
731,VIA CAMDEN LP,PYRAMID CAPITAL LLC,1600 CAMDEN AVE,2024-12-05,5100000,3000000
732,2130 MANDEVILLE CANYON LLC,GENESIS CAPITAL LLC,2130 MANDEVILLE CANYON RD,2024-12-04,5145000,4116000
